Genus,Species,GenusSpecies,COMMONNAME,Common,Combined
Cornus,spp.,Cornus spp.,Dogwood species,"Dogwood, Species",Dogwood species/Cornus spp.
Corylus,americana,Corylus americana,American hazel,"Hazel, American",American hazel/Corylus americana
Corylus,avellana,Corylus avellana,Common hazel,"Hazel, Common",Common hazel/Corylus avellana
Corylus,colurna,Corylus colurna,Turkish hazel,"Hazel, Turkish",Turkish hazel/Corylus colurna
Corylus,spp.,Corylus spp.,Hazel species,"Hazel, Species",Hazel species/Corylus spp.
Cotinus,coggygria,Cotinus coggygria,Eastern smoketree,"Smoketree, Eastern",Eastern smoketree/Cotinus coggygria
Crataegus,crus-galli,Crataegus crus-galli,Cockspur hawthorn,"Hawthorn, Cockspur",Cockspur hawthorn/Crataegus crus-galli
Crataegus,laevigata,Crataegus laevigata,English hawthorn,"Hawthorn, English",English hawthorn/Crataegus laevigata
Crataegus,mollis,Crataegus mollis,Downy hawthorn,"Hawthorn, Downy",Downy hawthorn/Crataegus mollis
Crataegus,phaenopyrum,Crataegus phaenopyrum,Washington hawthorn,"Hawthorn, Washington",Washington hawthorn/Crataegus phaenopyrum
Crataegus,spp.,Crataegus spp.,Hawthorn species,"Hawthorn, Species",Hawthorn species/Crataegus spp.
Crataegus,viridis,Crataegus viridis,Green hawthorn,"Hawthorn, Green",Green hawthorn/Crataegus viridis
Diospyros,virginiana,Diospyros virginiana,Common persimmon,"Persimmon, Common",Common persimmon/Diospyros virginiana
Elaeagnus,angustifolia,Elaeagnus angustifolia,Russian olive,"Olive, Russian",Russian olive/Elaeagnus angustifolia
Elaeagnus,umbellata,Elaeagnus umbellata,Autumn olive,"Olive, Autumn",Autumn olive/Elaeagnus umbellata
Eucommia,ulmoides,Eucommia ulmoides,Hardy rubber-tree,Hardy rubber tree,Hardy rubber-tree/Eucommia ulmoides
Euonymus,alatus,Euonymus alatus,Burning bush,Burning bush,Burning bush/Euonymus alatus
Euonymus,atropurpureus,Euonymus atropurpureus,Eastern wahoo,Eastern wahoo,Eastern wahoo/Euonymus atropurpureus
Euonymus,spp.,Euonymus spp.,Euonymus species,"Euonymus, Species",Euonymus species/Euonymus spp.
Fagus,grandifolia,Fagus grandifolia,American beech,"Beech, American",American beech/Fagus grandifolia
Fagus,spp.,Fagus spp.,Beech species,"Beech, Species",Beech species/Fagus spp.
Fagus,sylvatica,Fagus sylvatica,European beech,"Beech, European",European beech/Fagus sylvatica
Forsythia,spp.,Forsythia spp.,Forsythia species,"Forsythia, Species",Forsythia species/Forsythia spp.
Fraxinus,americana,Fraxinus americana,White ash,"Ash, White",White ash/Fraxinus americana
Fraxinus,nigra,Fraxinus nigra,Black ash,"Ash, Black",Black ash/Fraxinus nigra
Fraxinus,pennsylvanica,Fraxinus pennsylvanica,Green ash,"Ash, Green",Green ash/Fraxinus pennsylvanica
Fraxinus,quadrangulata,Fraxinus quadrangulata,Blue ash,"Ash, Blue",Blue ash/Fraxinus quadrangulata
Fraxinus,spp.,Fraxinus spp.,Ash species,"Ash, Species",Ash species/Fraxinus spp.
Fraxinus,tomentosa,Fraxinus tomentosa,Pumpkin ash,"Ash, Pumpkin",Pumpkin ash/Fraxinus tomentosa
Ginkgo,biloba,Ginkgo biloba,Ginkgo,Ginkgo,Ginkgo/Ginkgo biloba
Gleditsia,triacanthos,Gleditsia triacanthos,Honeylocust,Honeylocust,Honeylocust/Gleditsia triacanthos
Gymnocladus,dioicus,Gymnocladus dioicus,Kentucky coffeetree,Kentucky Coffeetree,Kentucky coffeetree/Gymnocladus dioicus
Halesia,spp.,Halesia spp.,Silverbell species,Silverbells,Silverbell species/Halesia spp.
Hamamelis,spp.,Hamamelis spp.,Witch hazel species,"Witch hazel, Species",Witch hazel species/Hamamelis spp.
Hamamelis,virginiana,Hamamelis virginiana,American witch hazel,"Hitch hazel, American",American witch hazel/Hamamelis virginiana
Hibiscus,spp.,Hibiscus spp.,Hibiscus species,"Hibiscus, Species",Hibiscus species/Hibiscus spp.
Ilex,spp.,Ilex spp.,Holly species,"Holly, Species",Holly species/Ilex spp.
Ilex,verticillata,Ilex verticillata,Winterberry,"Holly, Winterberry",Winterberry/Ilex verticillata
Juglans,cinerea,Juglans cinerea,Butternut,"Walnut, Butternut",Butternut/Juglans cinerea
Juglans,nigra,Juglans nigra,Black walnut,"Walnut, Black",Black walnut/Juglans nigra
Juglans,regia,Juglans regia,English walnut,"Walnut, English",English walnut/Juglans regia
Juglans,spp.,Juglans spp.,Walnut species,"Walnut, Species",Walnut species/Juglans spp.
Juniperus,chinensis,Juniperus chinensis,Chinese juniper,"Juniper, Chinese",Chinese juniper/Juniperus chinensis
Juniperus,communis,Juniperus communis,Common juniper,"Juniper, Common",Common juniper/Juniperus communis
Juniperus,spp.,Juniperus spp.,Juniper species,"Juniper, Species",Juniper species/Juniperus spp.
Juniperus,virginiana,Juniperus virginiana,Eastern redcedar,"Juniper, Redcedar",Eastern redcedar/Juniperus virginiana
Koelreuteria,paniculata,Koelreuteria paniculata,Golden raintree,Golden Raintree,Golden raintree/Koelreuteria paniculata
Larix,decidua,Larix decidua,European larch,"Larch, European",European larch/Larix decidua
Larix,laricina,Larix laricina,Tamarack,"Larch, Tamarack",Tamarack/Larix laricina
Larix,spp.,Larix spp.,Larch species,"Larch, Species",Larch species/Larix spp.
Ligustrum,spp.,Ligustrum spp.,Privet species,Privet,Privet species/Ligustrum spp.
Lindera,benzoin,Lindera benzoin,Northern spicebush,"Spicebush, Northern",Northern spicebush/Lindera benzoin
Liquidambar,styraciflua,Liquidambar styraciflua,Sweetgum,Sweetgum,Sweetgum/Liquidambar styraciflua
Liriodendron,tulipifera,Liriodendron tulipifera,Tuliptree,Tuliptree,Tuliptree/Liriodendron tulipifera
Lonicera,maackii,Lonicera maackii,Amur honeysuckle,"Honeysuckle, Amur",Amur honeysuckle/Lonicera maackii
Lonicera,spp.,Lonicera spp.,Honeysuckle species,"Honeysuckle, Species",Honeysuckle species/Lonicera spp.
Maclura,pomifera,Maclura pomifera,Osage orange,Osage Orange,Osage orange/Maclura pomifera
Magnolia,acuminata,Magnolia acuminata,Cucumber magnolia,"Magnolia, Cucumber",Cucumber magnolia/Magnolia acuminata
Magnolia,kobus,Magnolia kobus,Kobus magnolia,"Magnolia, Kobus",Kobus magnolia/Magnolia kobus
